date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:35	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2028%20May%202017%2017:41:46%20GMT	https://www.chezlartisan.ma/wp-content/themes/lartisan/css/fontawesome/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/themes/lartisan/css/fontawesome/fontawesome-webfontd41d.eot	(from https://www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.core.fonts.min.css?ver=5.8.2)
10:54:36	302/302	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Dec%202018%2006:53:04%20GMT	https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/vc/alert.png	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/js_composer/assets/vc/alert.png	(from https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.1)
10:54:36	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2028%20May%202017%2017:41:46%20GMT	https://www.chezlartisan.ma/wp-content/themes/lartisan/css/fontawesome/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/themes/lartisan/css/fontawesome/fontawesome-webfont3e6e.svg	(from https://www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.core.fonts.min.css?ver=5.8.2)
10:54:37	323/323	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Dec%202018%2006:53:04%20GMT	https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/vc/info.png	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/js_composer/assets/vc/info.png	(from https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.1)
10:54:38	244/244	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Dec%202018%2006:53:04%20GMT	https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/vc/tick.png	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/js_composer/assets/vc/tick.png	(from https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.1)
10:54:38	495/495	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Dec%202018%2006:53:04%20GMT	https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/vc/exclamation.png	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/js_composer/assets/vc/exclamation.png	(from https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.1)
10:54:39	165548/165548	---M--	200	added ('OK')	font/ttf	date:Sun,%2028%20May%202017%2017:41:46%20GMT	https://www.chezlartisan.ma/wp-content/themes/lartisan/css/fontawesome/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/themes/lartisan/css/fontawesome/fontawesome-webfont3e6e.ttf	(from https://www.chezlartisan.ma/wp-content/themes/lartisan/css/ut.core.fonts.min.css?ver=5.8.2)
10:54:39	712/712	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Dec%202018%2006:53:04%20GMT	https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/images/icons/address-book.png	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/js_composer/assets/images/icons/address-book.png	(from https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.1)
10:54:40	841/841	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Dec%202018%2006:53:04%20GMT	https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/images/icons/alarm-clock.png	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/js_composer/assets/images/icons/alarm-clock.png	(from https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.1)
10:54:41	694/694	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Dec%202018%2006:53:04%20GMT	https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/images/icons/anchor.png	C:/My%20Web%20Sites/Boulangerie%20Rachid/www.chezlartisan.ma/wp-content/plugins/js_composer/assets/images/icons/anchor.png	(from https://www.chezlartisan.ma/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.1)
